0.jpg,1697.56,518.03,1704.79,637.31,1701.17,684.3,1379.88,635.28,1365.02,674.66,1343.34,691.53
1.jpg,1688.47,502.92,1698.59,620.03,1697.15,673.53,1406.54,627.26,1367.51,672.08,1344.37,690.88
2.jpg,1685.23,510.83,1698.78,608.72,1701.79,646.37,1403.6,643.36,1367.46,693.06,1361.43,714.14
3.jpg,1682.59,505.64,1701.42,602.27,1703.93,639.92,1415.27,658.75,1375.11,703.93,1353.78,717.73
4.jpg,1681.34,504.38,1702.67,592.23,1703.93,629.88,1417.78,656.24,1382.64,715.22,1356.29,720.24
5.jpg,1673.81,493.08,1701.42,584.7,1701.42,621.1,1421.55,663.77,1386.41,717.73,1363.82,721.5
6.jpg,1675.06,486.81,1698.91,577.17,1702.67,617.33,1430.33,665.02,1392.68,713.97,1370.09,724.01
7.jpg,1666.28,476.77,1688.87,567.13,1693.89,608.55,1441.63,672.55,1392.68,716.48,1370.09,720.24
8.jpg,1659.17,456.76,1690.8,568.21,1689.29,604.36,1431.76,670.62,1392.61,715.8,1370.02,727.85
9.jpg,1649.84,461.46,1671.17,559.35,1678.7,595.75,1460.33,662.26,1417.66,713.72,1398.83,717.48
10.jpg,1633.52,448.91,1657.37,556.84,1659.88,599.51,1474.13,664.77,1432.72,709.95,1415.15,722.5
11.jpg,1632.27,470.24,1649.84,559.35,1653.6,602.02,1482.92,666.03,1433.97,714.97,1422.68,722.5
12.jpg,1624.74,460.2,1648.58,564.37,1648.58,610.81,1481.66,676.07,1441.5,717.48,1430.21,722.5
13.jpg,1623.48,456.44,1639.8,566.88,1641.05,610.81,1499.24,669.79,1451.54,717.48,1435.23,722.5
14.jpg,1623.48,479.03,1636.03,571.9,1634.78,617.08,1495.47,667.28,1457.82,713.72,1440.25,722.5
15.jpg,1615.95,465.22,1633.52,579.43,1629.76,624.61,1499.24,669.79,1462.84,713.72,1445.27,721.25
16.jpg,1623.48,499.11,1632.27,590.73,1624.74,629.63,1513.04,672.3,1471.62,714.97,1452.8,722.5
17.jpg,1623.48,509.15,1629.76,589.47,1620.97,634.65,1514.3,669.79,1475.39,716.23,1451.54,722.5
18.jpg,1618.46,502.87,1624.74,598.26,1615.95,642.18,1514.29,666.03,1480.41,716.23,1465.35,722.5
19.jpg,1618.46,519.19,1620.97,607.04,1613.44,649.71,1530.61,661.01,1496.72,713.72,1482.92,722.5
20.jpg,1610.93,524.21,1614.7,619.59,1612.19,659.75,1531.87,645.95,1508.02,712.46,1494.21,722.5
21.jpg,1609.68,539.27,1608.42,627.12,1605.91,659.75,1543.16,644.69,1520.57,712.46,1499.24,719.99
22.jpg,1608.42,549.31,1607.17,633.4,1599.64,668.54,1541.91,634.65,1520.57,713.72,1505.51,719.99
23.jpg,1503,722.5,1605.91,634.65,1594.62,664.77,1543.16,640.93,1521.83,717.48,1612.19,559.35
24.jpg,1609.68,570.65,1597.13,633.4,1589.6,666.03,1548.18,632.14,1528.1,723.76,1509.28,728.78
25.jpg,1613.44,563.12,1598.38,637.16,1588.34,667.28,1555.71,632.14,1538.14,722.5,1513.04,727.52
26.jpg,1617.16,574.54,1600.59,637.79,1590.05,663.39,1555.41,640.65,1541.86,718.96,1520.77,725.14
27.jpg,1612.64,586.43,1597.58,630.11,1588.54,645.32,1574.99,615.05,1561.43,696.52,1553.9,723.63
28.jpg,1614.14,604.51,1593.06,636.28,1582.52,649.69,1587.04,584.93,1585.53,672.43,1573.48,711.43
29.jpg,1614.19,582.67,1585.96,627.64,1575.5,640.19,1590.14,566.99,1582.82,659.02,1579.68,691.44
30.jpg,1618.38,583.72,1595.37,629.74,1583.87,643.33,1598.51,558.62,1584.91,621.37,1584.91,675.75
31.jpg,1625.7,599.41,1603.74,632.87,1592.23,644.38,1604.78,550.25,1598.51,615.09,1588.05,636.01
32.jpg,1622.1,608.92,1602.02,634.02,1590.73,649.08,1614.57,553.7,1605.79,617.71,1598.26,631.51
33.jpg,1638.42,607.67,1619.59,646.57,1608.3,664.14,1643.44,518.56,1642.18,576.29,1644.69,611.43
34.jpg,1643.44,618.96,1620.85,662.89,1608.3,669.16,1645.95,503.5,1650.97,565,1647.2,597.63
35.jpg,1653.48,630.26,1625.87,674.18,1614.57,686.74,1666.03,473.38,1658.5,553.7,1650.97,587.59
36.jpg,1653.48,634.02,1628.38,686.74,1613.32,696.78,1667.28,464.6,1664.77,537.39,1657.24,578.8
37.jpg,1658.5,637.79,1627.12,694.26,1613.32,705.56,1664.77,464.6,1664.77,531.11,1654.73,567.51
38.jpg,1661.01,639.04,1633.4,696.78,1610.81,711.83,1671.05,452.05,1666.03,511.03,1653.48,558.72
39.jpg,1666.03,642.81,1638.42,698.03,1629.63,705.56,1658.5,453.3,1667.28,529.86,1662.26,554.96
40.jpg,1668.54,644.06,1647.2,695.52,1632.14,706.82,1666.03,453.3,1668.54,521.07,1663.52,549.94
